iter	Passed	Remaining
198	407	1638
199	409	1636
200	411	1633
201	413	1631
202	414	1628
203	416	1626
204	418	1623
205	420	1620
206	422	1617
207	424	1615
208	426	1613
209	428	1611
210	430	1608
211	432	1606
212	434	1604
213	436	1601
214	437	1598
215	439	1596
216	441	1594
217	443	1591
218	445	1590
219	448	1588
220	450	1587
221	452	1584
222	454	1582
223	456	1580
224	457	1577
225	459	1575
226	461	1572
227	463	1570
228	465	1567
229	467	1564
230	469	1562
231	471	1560
232	473	1558
233	475	1555
234	477	1553
235	478	1550
236	480	1548
237	482	1545
238	484	1543
239	486	1540
240	488	1538
241	490	1535
242	492	1533
243	494	1530
244	495	1528
245	497	1525
246	499	1523
247	501	1521
248	503	1518
249	505	1516
250	507	1513
251	508	1510
252	510	1508
253	512	1506
254	514	1503
255	516	1501
256	518	1498
257	520	1496
258	522	1494
259	524	1491
260	525	1489
261	527	1487
262	530	1485
263	532	1484
264	534	1482
265	536	1479
266	538	1477
267	539	1474
268	541	1472
269	543	1470
270	545	1467
271	547	1465
272	549	1463
273	551	1461
274	553	1459
275	555	1456
276	557	1454
277	559	1452
278	561	1450
279	563	1447
280	564	1445
281	566	1443
282	568	1440
283	570	1438
284	572	1436
285	574	1434
286	576	1432
287	578	1430
288	580	1428
289	582	1426
290	584	1424
291	587	1424
292	590	1424
293	593	1424
294	595	1423
295	598	1424
296	601	1424
297	604	1424
298	607	1424
299	611	1427
300	614	1425
301	619	1430
302	621	1429
303	623	1427
304	626	1426
305	628	1424
306	630	1422
307	632	1420
308	634	1419
309	636	1417
310	638	1415
311	641	1414
312	643	1412
313	645	1410
314	647	1408
315	649	1406
316	651	1404
317	653	1401
318	655	1399
319	657	1397
320	659	1394
321	661	1392
322	663	1390
323	665	1388
324	667	1385
325	669	1383
326	671	1381
327	672	1378
328	674	1376
329	676	1373
330	678	1371
331	680	1368
332	682	1366
333	684	1364
334	686	1362
335	688	1359
336	691	1359
337	692	1357
338	694	1354
339	696	1352
340	698	1350
341	700	1348
342	702	1345
343	704	1343
344	706	1341
345	708	1339
346	710	1336
347	712	1334
348	714	1332
349	715	1329
350	717	1327
351	719	1325
352	721	1322
353	723	1320
354	725	1318
355	727	1316
356	729	1313
357	731	1311
358	733	1309
359	735	1307
360	737	1305
361	739	1302
362	741	1300
363	743	1298
364	745	1296
365	747	1294
366	749	1292
367	751	1289
368	752	1287
369	754	1285
370	756	1283
371	758	1281
372	760	1278
373	762	1276
374	764	1274
375	766	1272
376	768	1270
377	770	1268
378	772	1266
379	774	1263
380	776	1261
381	778	1259
382	780	1257
383	782	1255
384	784	1253
385	787	1252
386	789	1250
387	791	1248
388	793	1245
389	795	1243
390	797	1241
391	799	1239
392	801	1237
393	803	1235
394	805	1232
395	806	1230
396	808	1228
397	810	1226
398	812	1224
399	814	1221
400	816	1219
401	818	1217
402	820	1215
403	822	1212
404	824	1210
405	826	1209
406	828	1207
407	830	1205
408	832	1202
409	834	1200
410	836	1198
411	838	1196
412	840	1194
413	842	1192
414	844	1190
415	846	1187
416	847	1185
417	849	1183
418	851	1180
419	853	1178
420	855	1176
421	857	1174
422	859	1172
423	861	1169
424	862	1167
425	864	1165
426	866	1163
427	868	1161
428	870	1158
429	872	1156
430	874	1154
431	876	1152
432	878	1149
433	880	1147
434	882	1145
435	883	1143
436	885	1141
437	887	1139
438	889	1136
439	891	1134
440	893	1132
441	895	1130
442	897	1128
443	899	1126
444	901	1124
445	903	1122
446	905	1120
447	907	1118
448	909	1116
449	912	1114
450	914	1112
451	916	1110
452	918	1108
453	920	1107
454	922	1105
455	924	1103
456	926	1101
457	928	1099
458	931	1097
459	932	1095
460	935	1093
461	937	1091
462	939	1089
463	941	1087
464	943	1085
465	944	1082
466	946	1080
467	948	1078
468	950	1076
469	952	1073
470	954	1071
471	956	1069
472	958	1067
473	960	1065
474	961	1063
475	963	1061
476	965	1058
477	967	1056
478	969	1054
479	971	1052
480	973	1050
481	975	1048
482	977	1046
483	979	1044
484	981	1042
485	983	1040
486	985	1037
487	987	1035
488	989	1033
489	991	1031
490	993	1029
491	995	1027
492	996	1025
493	998	1023
494	1000	1020
495	1002	1018
496	1004	1016
497	1006	1014
498	1008	1012
499	1010	1010
500	1012	1008
501	1014	1006
502	1016	1004
503	1018	1002
504	1020	1000
505	1022	998
506	1024	996
507	1026	994
508	1028	992
509	1030	990
510	1032	988
511	1034	985
512	1036	983
513	1038	981
514	1040	979
515	1042	977
516	1044	975
517	1046	973
518	1048	971
519	1049	969
520	1051	967
521	1053	964
522	1055	962
523	1057	960
524	1059	958
525	1061	956
526	1063	954
527	1065	952
528	1067	950
529	1069	948
530	1071	946
531	1073	944
532	1075	942
533	1077	940
534	1079	938
535	1081	936
536	1083	934
537	1085	932
538	1087	930
539	1089	927
540	1091	925
541	1093	923
542	1095	921
543	1097	919
544	1099	917
545	1100	915
546	1102	913
547	1104	911
548	1106	909
549	1109	907
550	1111	905
551	1112	903
552	1114	901
553	1116	898
554	1118	896
555	1120	894
556	1122	892
557	1124	890
558	1126	888
559	1128	886
560	1130	884
561	1132	882
562	1134	880
563	1136	878
564	1138	876
565	1140	874
566	1142	872
567	1144	870
568	1146	868
569	1147	865
570	1149	863
571	1151	861
572	1153	859
573	1155	857
574	1157	855
575	1159	853
576	1162	851
577	1164	849
578	1166	847
579	1168	845
580	1170	844
581	1172	841
582	1174	839
583	1176	838
584	1178	836
585	1180	833
586	1182	831
587	1184	829
588	1186	827
589	1188	825
590	1190	823
591	1191	821
592	1194	819
593	1196	817
594	1198	815
595	1199	813
596	1201	811
597	1203	809
598	1205	807
599	1207	804
600	1209	802
601	1211	800
602	1213	798
603	1215	796
604	1217	794
605	1219	792
606	1220	790
607	1222	788
608	1225	786
609	1227	784
610	1230	783
611	1232	781
612	1234	779
613	1236	777
614	1238	775
615	1240	773
616	1242	771
617	1244	769
618	1246	767
619	1248	765
620	1250	763
621	1252	761
622	1254	759
623	1256	757
624	1258	755
625	1260	753
626	1262	751
627	1264	749
628	1266	747
629	1268	745
630	1270	742
631	1272	740
632	1274	738
633	1276	736
634	1278	734
635	1280	732
636	1281	730
637	1283	728
638	1285	726
639	1287	724
640	1289	722
641	1291	720
642	1293	718
643	1295	716
644	1297	714
645	1299	712
646	1301	710
647	1303	708
648	1305	706
649	1307	703
650	1309	701
651	1311	699
652	1313	697
653	1315	695
654	1317	693
655	1318	691
656	1320	689
657	1322	687
658	1324	685
659	1326	683
660	1328	681
661	1330	679
662	1332	677
663	1334	675
664	1336	673
665	1338	671
666	1339	668
667	1342	666
668	1344	665
669	1345	662
670	1347	660
671	1349	658
672	1351	656
673	1354	654
674	1355	652
675	1357	650
676	1359	648
677	1361	646
678	1363	644
679	1365	642
680	1367	640
681	1369	638
682	1371	636
683	1373	634
684	1375	632
685	1377	630
686	1378	628
687	1381	626
688	1383	624
689	1385	622
690	1386	620
691	1388	618
692	1390	616
693	1392	614
694	1394	612
695	1396	610
696	1398	608
697	1400	606
698	1402	604
699	1405	602
700	1407	600
701	1409	598
702	1411	596
703	1413	594
704	1415	592
705	1417	590
706	1419	588
707	1421	586
708	1423	584
709	1425	582
710	1427	580
711	1429	578
712	1431	576
713	1433	574
714	1435	572
715	1437	570
716	1439	568
717	1441	566
718	1443	564
719	1445	562
720	1447	560
721	1449	557
722	1450	555
723	1453	553
724	1455	551
725	1457	549
726	1459	547
727	1461	545
728	1462	543
729	1464	541
730	1466	539
731	1468	537
732	1470	535
733	1472	533
734	1474	531
735	1476	529
736	1478	527
737	1480	525
738	1481	523
739	1483	521
740	1485	519
741	1487	517
742	1489	515
743	1491	513
744	1493	511
745	1495	509
746	1497	507
747	1499	505
748	1501	503
749	1503	501
750	1505	499
751	1506	496
752	1508	494
753	1510	492
754	1512	490
755	1514	488
756	1516	486
757	1518	484
758	1519	482
759	1521	480
760	1524	478
761	1526	476
762	1528	474
763	1530	472
764	1532	470
765	1534	468
766	1536	466
767	1538	464
768	1540	462
769	1542	460
770	1544	458
771	1546	456
772	1548	454
773	1550	452
774	1552	450
775	1554	448
776	1555	446
777	1557	444
778	1559	442
779	1561	440
780	1563	438
781	1565	436
782	1567	434
783	1568	432
784	1570	430
785	1572	428
786	1574	426
787	1576	424
788	1578	422
789	1580	420
790	1582	418
791	1583	415
792	1585	413
793	1588	412
794	1589	409
795	1591	407
796	1593	405
797	1595	403
798	1597	401
799	1599	399
800	1601	397
801	1603	395
802	1605	393
803	1607	391
804	1609	389
805	1611	387
806	1613	385
807	1615	383
808	1617	381
809	1619	379
810	1621	377
811	1623	375
812	1625	373
813	1626	371
814	1629	369
815	1631	367
816	1633	365
817	1635	363
818	1637	361
819	1639	359
820	1641	357
821	1643	355
822	1645	353
823	1647	351
824	1649	349
825	1651	347
826	1653	345
827	1655	343
828	1657	341
829	1659	339
830	1660	337
831	1662	335
832	1664	333
833	1667	331
834	1668	329
835	1670	327
836	1672	325
837	1674	323
838	1676	321
839	1678	319
840	1680	317
841	1682	315
842	1684	313
843	1686	311
844	1687	309
845	1689	307
846	1691	305
847	1693	303
848	1695	301
849	1697	299
850	1699	297
851	1700	295
852	1702	293
853	1704	291
854	1706	289
855	1708	287
856	1710	285
857	1712	283
858	1714	281
859	1716	279
860	1718	277
861	1719	275
862	1721	273
863	1723	271
864	1725	269
865	1727	267
866	1729	265
867	1731	263
868	1733	261
869	1735	259
870	1737	257
871	1739	255
872	1741	253
873	1743	251
874	1744	249
875	1746	247
876	1748	245
877	1750	243
878	1752	241
879	1754	239
880	1756	237
881	1758	235
882	1760	233
883	1762	231
884	1764	229
885	1766	227
886	1768	225
887	1770	223
888	1772	221
889	1773	219
890	1775	217
891	1777	215
892	1779	213
893	1781	211
894	1783	209
895	1785	207
896	1787	205
897	1789	203
898	1791	201
899	1793	199
900	1795	197
901	1797	195
902	1799	193
903	1801	191
904	1803	189
905	1804	187
906	1806	185
907	1808	183
908	1810	181
909	1812	179
910	1814	177
911	1816	175
912	1818	173
913	1820	171
914	1822	169
915	1824	167
916	1826	165
917	1828	163
918	1830	161
919	1832	159
920	1833	157
921	1836	155
922	1839	153
923	1842	151
924	1844	149
925	1846	147
926	1848	145
927	1850	143
928	1852	141
929	1854	139
930	1856	137
931	1858	135
932	1860	133
933	1862	131
934	1864	129
935	1866	127
936	1868	125
937	1870	123
938	1872	121
939	1875	119
940	1877	117
941	1879	115
942	1881	113
943	1883	111
944	1885	109
945	1887	107
946	1889	105
947	1890	103
948	1892	101
949	1895	99
950	1896	97
951	1898	95
952	1900	93
953	1902	91
954	1904	89
955	1906	87
956	1908	85
957	1910	83
958	1912	81
959	1913	79
960	1915	77
961	1917	75
962	1919	73
963	1921	71
964	1923	69
965	1925	67
966	1927	65
967	1929	63
968	1931	61
969	1933	59
970	1935	57
971	1936	55
972	1938	53
973	1941	51
974	1943	49
975	1945	47
976	1947	45
977	1949	43
978	1951	41
979	1953	39
980	1955	37
981	1957	35
982	1959	33
983	1961	31
984	1963	29
985	1964	27
986	1966	25
987	1968	23
988	1970	21
989	1972	19
990	1974	17
991	1976	15
992	1978	13
993	1980	11
994	1983	9
995	1985	7
996	1987	5
997	1989	3
998	1991	1
999	1994	0
