iter	Logloss
0	0.2598698445
1	0.1750361233
2	0.1496623138
3	0.127186126
4	0.1193937167
5	0.111104827
6	0.1042729805
7	0.0985265709
8	0.09375141041
9	0.08910991517
10	0.08538668806
11	0.07915068744
12	0.07420112964
13	0.0680377793
14	0.06368378299
15	0.06159806159
16	0.05879295368
17	0.05697599291
18	0.05599419037
19	0.054152874
20	0.0528055385
21	0.05153693688
22	0.04876924411
23	0.04661200279
24	0.04532447503
25	0.04389106302
26	0.04228704856
27	0.04124050031
28	0.04051374875
29	0.04005429764
30	0.03908706537
31	0.03857931727
32	0.03765359874
33	0.0371007251
34	0.03656026216
35	0.03579201268
36	0.03424223903
37	0.03343661312
38	0.03315792953
39	0.0328892135
40	0.03196954966
41	0.03148012554
42	0.03109573058
43	0.03083155399
44	0.03061586228
45	0.03024487693
46	0.02988996703
47	0.02954173572
48	0.02929064452
49	0.02892180835
50	0.02837506214
51	0.0282661999
52	0.02799735462
53	0.02775724464
54	0.0275474127
55	0.02732059991
56	0.02707433195
57	0.02688470212
58	0.02670104943
59	0.02652557504
60	0.02628948067
61	0.0260109213
62	0.0258979965
63	0.02550125785
64	0.02541061599
65	0.0252094567
66	0.02507427247
67	0.02497452899
68	0.0248660041
69	0.02447283377
70	0.02437221796
71	0.02426078756
72	0.02411792645
73	0.02399835691
74	0.02384629122
75	0.02380667822
76	0.02370776861
77	0.02348631845
78	0.02339274753
79	0.02327656559
80	0.02309887877
81	0.02309893551
82	0.02302133196
83	0.023020462
84	0.02290241898
85	0.02276340468
86	0.02264369509
87	0.0226431006
88	0.0226430434
89	0.0226428717
90	0.02264281311
91	0.02264252725
92	0.02264221868
93	0.02264218735
94	0.02264210349
95	0.02264193769
96	0.0226413819
97	0.02264084871
98	0.02264036792
99	0.02264024221
100	0.02263969992
101	0.02263969992
102	0.02263969992
103	0.02263969992
104	0.02263969992
105	0.02263969992
106	0.02263969992
107	0.02263969992
108	0.02263969992
109	0.02263969992
110	0.02263969992
111	0.02263969992
112	0.02263969992
113	0.02263969992
114	0.02263969992
115	0.02263943231
116	0.02263942297
117	0.02263925751
118	0.02263881816
119	0.02263877426
120	0.02263835555
121	0.02263835401
122	0.02263827158
123	0.02263801449
124	0.02263802891
125	0.02263768137
126	0.02263768137
127	0.02256547243
128	0.02256527083
129	0.02256506759
130	0.02256492546
131	0.02248982983
132	0.02238260151
133	0.02238227839
134	0.02238227395
135	0.02238184501
136	0.02238153335
137	0.02238137611
138	0.02238103082
139	0.02238088511
140	0.02227646564
141	0.021942128
142	0.02175040117
143	0.02165341782
144	0.02152103814
145	0.02151821321
146	0.02151809761
147	0.02151795493
148	0.02151614647
149	0.02151486802
150	0.02151468452
151	0.02151416337
152	0.02151412831
153	0.02151374382
154	0.02151269538
155	0.02151215171
156	0.02151123793
157	0.02150785498
158	0.02150034224
159	0.02149563788
160	0.02142359271
161	0.02139124919
162	0.02139101723
163	0.02126612143
164	0.02123337133
165	0.021138838
166	0.02113861064
167	0.02113852986
168	0.02113836806
169	0.02113788115
170	0.02113771679
171	0.02113762141
172	0.02113745678
173	0.02113523534
174	0.0211351015
175	0.02113307575
176	0.02113139837
177	0.02113111042
178	0.02113104411
179	0.0211309307
180	0.02108242161
181	0.02108222587
182	0.0210819932
183	0.02108178697
184	0.0210292687
185	0.02097932707
